day_of_week,time,class_category,class_capacity,days_before,attendance,age,new_students,over_6_month
Tue,AM,Strength,15,5,11,29.3,6,9
Sun,AM,Cycling,15,2,9,31.9,6,4
Mon,PM,Aqua,15,4,5,32.2,8,7
Sat,PM,Yoga,15,1,9,30.6,7,8
Thu,PM,Aqua,15,3,8,29.2,3,10
Wed,PM,Aqua,15,1,10,26.4,6,9
Sat,PM,Cycling,15,4,11,24.2,8,7
Sun,PM,Yoga,25,4,11,27.9,5,10
Sat,PM,HIIT,15,3,4,37.1,4,6
Sun,AM,Aqua,15,3,4,33.3,5,7
Sat,AM,Strength,15,4,10,22.1,6,8
Sun,AM,Strength,15,1,4,41.1,3,4
Thu,AM,Aqua,25,5,19,16.3,8,10
Sun,PM,Strength,15,2,7,28.6,4,8
Thu,PM,Yoga,15,1,12,30.3,8,7
Sat,PM,Cycling,15,1,7,35.7,7,8
Mon,AM,Aqua,15,1,12,18.1,8,8
Sat,AM,Aqua,15,2,9,26.1,9,5
Sun,PM,Aqua,15,1,6,33.3,3,5
Wed,PM,Strength,25,2,9,28.7,5,6
Thu,PM,Strength,15,3,11,24,6,9
Wed,PM,Cycling,15,1,5,28.8,4,7
Mon,PM,Aqua,15,2,10,28.3,6,11
Sat,PM,HIIT,15,3,7,36,4,8
Sat,PM,HIIT,15,3,5,27.6,5,5
Wed,AM,Aqua,15,1,6,35.2,4,6
Fri,AM,Strength,15,3,7,33,6,5
Wed,AM,Aqua,15,2,11,32.3,5,9
Mon,PM,Yoga,15,2,10,26.7,6,7
Mon,AM,Yoga,25,4,13,21.3,6,7
Fri,AM,Strength,15,1,12,26.7,5,9
Wed,PM,Strength,25,3,7,27.5,7,7
Sun,PM,Yoga,25,4,17,28.2,11,9
Thu,PM,Cycling,15,3,4,42.4,4,6
Sat,AM,Cycling,15,1,11,25.5,6,5
Wed,PM,HIIT,15,1,8,28.2,7,6
Mon,PM,Aqua,25,4,9,31.8,8,7
Fri,PM,Strength,15,1,4,42.4,4,5
Sat,AM,HIIT,15,4,10,30.9,5,9
Tue,PM,Strength,15,3,11,20.7,6,8
Tue,PM,Cycling,25,4,16,28.8,9,10
Sun,PM,Cycling,25,2,12,28.4,8,10
Fri,PM,Cycling,15,1,11,25.8,7,9
Fri,PM,Yoga,15,1,10,24.1,4,6
Sat,AM,HIIT,15,4,8,30.8,5,7
Fri,PM,Yoga,25,5,11,29.9,5,9
Sat,PM,Strength,25,5,17,25.7,7,10
Sun,AM,Strength,15,4,6,37.3,4,4
Wed,AM,Strength,25,3,17,27.9,5,10
Mon,PM,Cycling,25,2,7,27.2,4,4
Sat,AM,HIIT,15,1,10,25.7,7,7
Tue,PM,Yoga,15,4,7,31.3,8,7
Wed,AM,Strength,15,4,7,31.4,7,7
Tue,PM,Aqua,15,1,5,34.6,5,7
Tue,PM,Strength,15,3,7,31.5,5,8
Tue,PM,Cycling,25,3,17,18.1,8,11
Thu,PM,Yoga,15,4,6,29.4,4,6
Thu,AM,Cycling,15,3,7,35.6,4,6
Thu,PM,Strength,15,1,6,33.6,6,7
Wed,AM,Aqua,15,1,7,34.8,5,7
Tue,PM,Strength,15,1,5,28.5,4,7
Sat,AM,Aqua,15,2,7,34,5,7
Wed,AM,HIIT,15,2,5,34,4,5
Thu,AM,Cycling,15,1,11,29.1,4,10
Sat,AM,Cycling,15,2,10,25.8,9,7
Tue,AM,Aqua,25,4,9,22.2,5,6
Fri,AM,Cycling,25,1,12,27.9,4,11
Sat,PM,Strength,15,2,6,35.4,8,7
Sun,AM,Yoga,15,3,9,32.9,6,7
Sat,AM,Strength,15,4,6,36.3,6,7
Tue,AM,Aqua,25,4,20,19.8,8,10
Mon,AM,HIIT,15,3,4,39.2,1,5
Sun,AM,HIIT,15,1,12,27.4,6,9
Fri,AM,Yoga,15,1,10,34.3,6,9
Tue,AM,Aqua,15,1,5,26,6,4
Thu,AM,Strength,25,5,15,25.2,5,12
Fri,PM,Yoga,15,1,9,33.1,8,7
Tue,PM,Aqua,25,5,12,28.6,8,11
Sat,PM,Aqua,15,3,12,27.2,9,9
Sat,AM,HIIT,15,1,9,29.2,6,9
Wed,AM,Yoga,15,1,12,30.8,5,6
Wed,AM,Yoga,15,2,11,14.3,10,8
Mon,PM,Cycling,15,1,11,29.5,7,6
Thu,PM,Strength,15,2,9,27.4,9,8
Mon,PM,Aqua,15,1,7,28.3,4,7
Fri,PM,Aqua,15,5,12,32.2,7,7
Thu,PM,Strength,15,2,7,33.6,5,10
Tue,PM,Yoga,25,4,14,16.1,7,10
Thu,AM,Yoga,15,3,6,36.6,7,4
Fri,PM,Cycling,15,2,11,21.5,6,9
Tue,AM,Aqua,15,3,5,31.7,6,6
Sat,AM,Aqua,15,2,6,33.6,2,5
Sun,PM,Aqua,15,2,10,28.6,7,10
Wed,AM,Cycling,15,4,7,25.1,5,7
Thu,AM,HIIT,15,1,5,32.4,7,4
Sat,PM,Aqua,15,1,8,34.4,8,6
Fri,AM,HIIT,15,3,10,27.9,7,7
Thu,AM,Strength,15,2,5,28.3,5,9
Thu,PM,Strength,15,3,11,22.6,9,9
Sun,AM,Yoga,15,2,8,33.2,6,8
Mon,AM,Cycling,15,4,8,36.3,7,7
Thu,AM,Yoga,25,4,11,27.6,9,8
Wed,PM,Strength,25,3,19,28.5,9,7
Wed,PM,Strength,15,1,12,22.6,6,7
Fri,PM,Cycling,15,4,9,34.3,4,9
Thu,PM,Aqua,25,4,14,22.9,8,10
Sat,AM,Strength,15,2,8,29.8,3,7
Mon,AM,Cycling,15,2,7,33.6,4,8
Sat,AM,Strength,15,1,5,32.3,3,5
Fri,AM,Cycling,25,4,8,24.4,5,6
Sat,AM,HIIT,15,2,5,39.4,6,4
Fri,PM,Strength,15,1,4,35,4,4
Sat,AM,Aqua,15,1,12,24.4,5,7
Fri,AM,Strength,15,4,5,31.4,4,2
Mon,PM,Cycling,15,1,4,37.5,4,4
Mon,PM,Yoga,15,4,7,34.9,9,8
Fri,PM,Yoga,15,2,5,32.8,4,7
Thu,PM,Aqua,15,5,4,46.5,3,3
Thu,PM,HIIT,15,5,8,24.5,5,7
Thu,PM,Strength,15,3,12,20.5,7,8
Tue,AM,Cycling,15,2,8,31.1,6,9
Sun,PM,Strength,15,1,6,39.5,4,6
Sun,AM,Strength,15,1,8,31.4,2,7
Mon,AM,HIIT,15,3,5,39.3,4,4
Thu,AM,Cycling,15,1,8,27.6,6,8
Sat,PM,HIIT,15,4,5,27,7,5
Thu,AM,Cycling,15,3,11,35.4,7,8
Thu,PM,Aqua,25,4,20,21,7,11
Sun,AM,Cycling,25,2,16,22.1,6,8
Sun,AM,Yoga,15,4,8,29.9,5,6
Wed,PM,Strength,15,4,7,28.4,8,5
Tue,PM,Yoga,15,1,11,30.2,6,7
Fri,PM,Cycling,25,5,8,29.5,4,6
Sun,AM,HIIT,25,2,11,24,3,8
Fri,PM,Cycling,25,1,8,29,5,7
Mon,AM,HIIT,15,3,11,26.4,6,8
Mon,AM,Yoga,15,1,8,37,5,7
Tue,PM,Strength,15,1,11,32.1,7,7
Sat,PM,Strength,25,3,8,31.2,2,8
Tue,AM,Strength,25,2,8,34.1,6,8
Mon,AM,Strength,15,1,9,32.2,8,7
Mon,PM,HIIT,15,1,7,27.6,3,6
Wed,PM,Aqua,25,3,18,22.1,8,12
Sat,PM,Aqua,25,2,16,29,8,7
Fri,AM,HIIT,25,2,18,22.3,9,10
Fri,PM,Cycling,15,1,10,28.1,3,9
Sun,AM,Aqua,15,4,11,24.2,5,9
Wed,AM,Yoga,15,1,8,32.1,6,6
Sun,AM,HIIT,25,4,17,21.4,7,10
Wed,PM,Yoga,15,2,9,27.7,4,8
Wed,PM,HIIT,15,4,9,33.8,6,5
Tue,AM,Yoga,15,1,5,33.3,6,9
Tue,AM,Aqua,15,1,11,25,8,8
Mon,AM,Yoga,25,1,20,21.8,9,12
Mon,PM,Strength,15,1,8,33.6,3,8
Thu,PM,HIIT,25,4,7,35.8,6,5
Mon,PM,Yoga,15,5,7,34.6,7,7
Thu,PM,Yoga,15,1,11,25.1,6,8
Wed,AM,Strength,25,1,14,27,9,9
Sun,AM,Aqua,15,1,9,30.3,8,8
Fri,PM,Aqua,15,1,5,37.8,6,4
Sun,AM,Yoga,15,2,11,26.5,6,7
Fri,PM,Aqua,15,4,9,30.9,7,9
Wed,AM,HIIT,15,2,7,31.1,7,8
Wed,AM,HIIT,15,4,4,39.5,4,4
Tue,AM,HIIT,15,4,8,32.2,3,7
Tue,AM,Cycling,15,1,5,32.2,3,5
Thu,AM,Aqua,15,4,10,21.6,6,11
Tue,PM,Yoga,15,3,8,26.5,2,7
Fri,PM,Strength,15,4,6,32.7,7,6
Sun,PM,Strength,25,3,14,32,7,11
Thu,PM,Yoga,15,3,6,34.5,7,5
Thu,AM,HIIT,15,4,11,22.2,8,8
Sat,PM,Cycling,25,2,13,24.7,6,7
Thu,PM,Cycling,25,5,10,25.4,5,8
Wed,AM,Strength,25,5,11,24.2,5,10
Sat,PM,Cycling,15,1,8,28.3,4,9
Thu,AM,Aqua,15,1,5,35,6,6
Sun,PM,Cycling,25,5,11,29,9,11
Tue,AM,Cycling,15,1,6,37.8,8,7
Tue,AM,Yoga,25,5,12,29.2,9,9
Fri,PM,Yoga,15,4,12,26.4,6,9
Mon,PM,Cycling,15,3,8,31.5,5,8
Tue,PM,Yoga,15,4,12,25.5,5,11
Sun,AM,Cycling,15,2,9,31.6,6,6
Sun,PM,Aqua,25,4,16,19.1,8,8
Tue,PM,Cycling,15,1,7,29.2,4,7
Tue,AM,Aqua,15,1,9,25.9,5,7
Wed,AM,Aqua,15,1,8,31.1,3,9
Mon,AM,Yoga,15,4,7,27.2,4,8
Fri,PM,Aqua,25,5,14,23,6,10
Tue,PM,Strength,25,4,15,26.7,3,8
Sun,AM,Cycling,25,2,15,27.1,4,9
Wed,AM,Aqua,15,1,6,32,5,7
Tue,AM,Strength,15,4,6,30.1,3,4
Sat,AM,Strength,15,1,8,32.2,7,5
Thu,AM,HIIT,15,1,11,29,6,7
Fri,PM,Aqua,25,4,21,15.1,10,9
Thu,AM,Aqua,15,1,6,33.9,3,6
Sun,AM,Strength,25,4,8,37.1,4,7
Tue,PM,HIIT,15,1,7,31.8,4,8
Sun,AM,Aqua,15,1,7,35,2,8
Fri,PM,Cycling,15,4,4,45,4,4
Sat,AM,Strength,25,5,8,33.3,8,7
Fri,AM,Cycling,15,4,11,31.5,9,8
Sat,PM,Strength,15,1,8,37.2,5,9
Thu,AM,HIIT,15,4,5,39.4,4,7
Sat,PM,Strength,25,3,12,26.6,7,9
Thu,AM,Cycling,15,3,9,30.9,8,8
Thu,PM,Yoga,15,2,9,30.5,5,7
Mon,PM,Aqua,15,1,10,26.5,7,9
Sat,PM,Yoga,25,2,11,27.4,8,7
Mon,PM,Aqua,15,2,12,15.8,6,7
Thu,AM,Yoga,15,1,10,24.4,8,7
Fri,PM,HIIT,15,3,8,34.2,8,7
Tue,AM,HIIT,25,4,11,23.5,9,8
Mon,AM,Strength,15,2,4,34.9,3,5
Fri,AM,HIIT,15,2,5,35.3,4,5
Tue,PM,Yoga,15,1,6,37.8,5,7
Fri,PM,Yoga,15,1,7,35.9,4,7
Tue,PM,Strength,15,2,11,22.1,7,8
Mon,AM,Aqua,15,2,5,39.2,5,4
Wed,PM,Cycling,15,1,8,35.2,1,6
Thu,PM,Aqua,15,4,5,37.3,5,6
Tue,PM,Strength,15,1,6,32.4,7,8
Tue,AM,Cycling,25,2,16,18.4,8,10
Sun,AM,Aqua,15,2,7,29.5,4,8
Wed,AM,HIIT,25,2,15,24.4,8,11
Thu,AM,Yoga,15,2,11,26,10,8
Sat,PM,Aqua,15,4,9,32.3,6,7
Wed,AM,HIIT,15,2,4,33.8,5,6
Fri,PM,Aqua,26,3,10,25.6,3,7
Tue,AM,Cycling,15,1,7,33.1,6,6
Sat,PM,Yoga,15,4,8,29.4,6,6
Thu,PM,Yoga,15,1,10,19,6,11
Sat,AM,Strength,15,4,11,19,5,7
Mon,PM,Cycling,15,1,5,35.2,5,5
Wed,PM,HIIT,25,5,20,21.3,5,11
Sun,PM,Strength,15,3,9,30.2,6,9
Sun,AM,HIIT,15,1,11,26.7,7,10
Sat,PM,Cycling,15,1,9,28,4,8
Tue,PM,Yoga,15,2,11,24.3,7,9
Tue,AM,Yoga,15,1,11,28.9,6,6
Tue,PM,Yoga,15,4,5,38.5,6,7
Sun,AM,Yoga,25,5,16,22.1,7,9
Sun,AM,Strength,15,3,12,17.2,8,11
Wed,AM,Cycling,15,2,10,24.8,5,6
Wed,PM,Aqua,15,1,7,33.6,8,5
Thu,AM,Yoga,15,2,8,36.7,5,7
Mon,PM,Aqua,15,3,11,24.8,5,9
Sun,PM,Strength,15,4,6,37.3,4,6
Thu,PM,Cycling,15,2,7,27.4,4,6
Sun,AM,Aqua,15,4,12,26.9,10,8
Mon,PM,HIIT,15,2,8,30.8,4,6
Thu,PM,Yoga,25,1,8,27.5,7,8
Mon,AM,Aqua,15,1,9,30.8,4,7
Wed,PM,Cycling,15,3,6,36.5,6,5
Wed,PM,Yoga,15,1,10,30.7,5,7
Mon,PM,Aqua,25,4,16,17.5,9,11
Fri,PM,Strength,15,1,11,28.3,6,10
Wed,AM,Strength,25,4,10,30.4,4,8
Wed,PM,Yoga,15,2,4,34.7,3,6
Wed,AM,Yoga,15,2,5,42,5,6
Thu,PM,HIIT,15,1,5,36.5,7,6
Sat,PM,Cycling,15,3,7,30.1,4,6
Tue,AM,HIIT,25,4,18,23.5,7,11
Sun,AM,Strength,15,1,10,30.7,5,6
Fri,AM,Strength,25,5,10,26.2,5,7
Thu,AM,Yoga,15,1,4,41.5,3,6
Thu,AM,Aqua,15,1,7,28.5,7,8
Thu,PM,Strength,25,3,8,30.5,6,4
Sun,AM,Aqua,15,2,5,34.4,5,4
Wed,AM,Aqua,15,1,8,25.8,5,6
Tue,AM,Cycling,15,1,11,22.3,9,10
Sat,PM,Yoga,15,1,11,33.1,4,7
Tue,PM,Strength,15,1,9,27.6,6,7
Tue,AM,Aqua,15,3,5,38.9,3,5
Sun,PM,HIIT,15,3,7,33.9,7,5
Mon,PM,Yoga,15,4,11,29,8,9
Thu,PM,Cycling,25,4,13,18.9,6,10
Tue,PM,HIIT,15,1,7,26.9,7,7
Thu,AM,Strength,15,1,11,23.2,6,8
Sun,AM,HIIT,25,3,8,27.8,6,7
Fri,AM,Cycling,15,4,9,29.4,7,8
Sun,PM,Yoga,15,2,5,35.9,8,7
Sun,AM,Cycling,25,2,16,21.9,7,10
Thu,PM,Cycling,25,4,11,30.3,8,10
Sun,PM,Aqua,15,2,12,21.2,5,7
Thu,PM,HIIT,15,5,10,26.4,6,6
Sun,AM,Yoga,15,2,6,39.6,2,5
Tue,PM,Yoga,15,4,10,33.5,4,9
Tue,PM,Yoga,15,1,10,24.7,6,10
Tue,PM,Strength,25,5,20,15.8,5,10
Sun,AM,HIIT,15,1,4,48.8,4,6
Mon,PM,Aqua,15,5,5,33.1,3,7
Sun,PM,Strength,25,5,20,22.9,7,12
Tue,AM,Aqua,15,1,12,31.1,7,8
Thu,AM,Strength,15,3,11,23.9,6,8
Sun,AM,Aqua,25,2,11,29.2,7,8
Thu,AM,HIIT,15,2,6,35.2,8,5
Sun,PM,Yoga,15,4,10,29.5,9,8
Tue,PM,Strength,15,5,9,28.9,7,8
Tue,PM,Cycling,15,1,12,26.7,10,10
Sat,PM,HIIT,15,3,10,29.3,11,8
Fri,AM,HIIT,15,1,6,36.9,6,7
Mon,PM,HIIT,25,4,11,26.6,6,10
Fri,AM,HIIT,15,2,8,34.1,5,6
Wed,PM,Aqua,15,2,9,26.9,6,7
Mon,AM,Aqua,25,5,8,36.6,5,7
Sat,AM,Yoga,15,1,9,27.7,7,6
Sat,PM,Aqua,15,2,9,25.7,4,8
Sun,PM,Yoga,15,2,9,32.6,5,9
Tue,PM,HIIT,15,3,8,22.4,7,10
Thu,AM,Yoga,15,1,5,38.4,6,4
Thu,AM,Aqua,15,1,6,30.4,2,5
Fri,PM,Cycling,15,2,4,39.6,4,5
Fri,AM,Aqua,15,1,5,34.4,5,7
Sun,PM,HIIT,15,4,9,27.2,10,8
Sat,AM,HIIT,25,4,14,31,5,10
Fri,PM,Aqua,25,4,19,19.9,7,11
Tue,AM,Yoga,15,4,11,31,6,7
Tue,PM,Cycling,15,5,9,25.7,3,5
Thu,AM,Strength,25,4,17,20.4,8,9
Thu,PM,Aqua,15,3,6,26.5,6,5
Thu,AM,Yoga,15,1,9,30.2,7,6
Mon,AM,Yoga,15,3,4,48.3,5,4
Thu,PM,Aqua,15,3,8,27.2,5,6
Sat,PM,Yoga,15,1,10,24.9,6,8
Tue,AM,HIIT,25,2,10,26.8,9,8
Sun,AM,Yoga,15,1,8,30.5,5,6
Sun,AM,HIIT,25,4,19,23.4,9,12
Mon,PM,Strength,15,4,9,34.4,4,8
Sat,AM,Yoga,25,3,19,16.1,9,11
Thu,PM,Aqua,15,1,10,33.1,6,6
Mon,AM,Aqua,25,3,14,18.4,7,11
Sat,AM,HIIT,25,1,16,18.5,8,9
Wed,PM,Yoga,25,3,18,23.8,5,10
Tue,PM,Yoga,15,3,10,32.3,7,9
Sun,AM,Yoga,25,3,18,24.6,8,11
Tue,AM,HIIT,15,4,8,28,7,7
Sun,AM,Strength,15,1,9,33.7,4,9
Fri,PM,Aqua,25,5,19,21.8,8,10
Tue,AM,Cycling,25,1,15,25.5,8,10
Fri,PM,HIIT,15,4,8,27.5,7,8
Thu,AM,Strength,15,3,7,34.8,7,8
Sat,AM,Aqua,15,4,12,30,8,9
Mon,PM,HIIT,15,3,6,32.2,4,7
Tue,AM,Strength,25,3,9,32.5,6,10
Thu,AM,Yoga,25,3,13,25.5,5,8
Wed,PM,Yoga,15,3,5,32.9,5,6
Wed,AM,Yoga,25,2,14,19.4,6,11
Mon,PM,Cycling,15,4,10,31.3,5,7
Fri,PM,HIIT,25,1,9,34.8,4,7
Sat,AM,Cycling,15,1,7,37.2,4,8
Mon,PM,Yoga,15,2,5,35.8,4,6
